,0
0,0.81
1,0.81
2,0.843
3,0.831
4,0.831
5,0.831
6,0.831
7,0.831
8,0.831
9,0.831
10,0.831
11,0.831
12,0.831
13,0.831
14,0.831
15,0.871
16,0.871
17,0.871
18,0.871
19,0.871
20,0.871
21,0.865
22,0.865
23,0.865
24,0.865
25,0.865
26,0.865
27,0.865
28,0.865
29,0.865
30,0.865
31,0.884
32,0.884
33,0.884
34,0.884
35,0.884
36,0.884
37,0.884
38,0.884
39,0.884
40,0.884
41,0.884
42,0.884
43,0.884
44,0.884
45,0.884
46,0.884
47,0.884
48,0.884
49,0.884
50,0.884
51,0.884
52,0.884
53,0.884
54,0.89
55,0.89
56,0.89
57,0.89
58,0.89
59,0.89
60,0.89
61,0.89
62,0.892
63,0.892
64,0.892
65,0.893
66,0.893
67,0.893
68,0.893
69,0.893
70,0.893
71,0.893
72,0.893
73,0.893
74,0.893
75,0.893
76,0.893
77,0.893
78,0.893
79,0.893
80,0.893
81,0.893
82,0.893
83,0.894
84,0.894
85,0.894
86,0.894
87,0.894
88,0.894
89,0.894
90,0.894
91,0.901
92,0.901
93,0.901
94,0.901
95,0.901
96,0.901
97,0.901
98,0.901
99,0.901
100,0.901
101,0.901
102,0.901
103,0.901
104,0.901
105,0.901
106,0.901
107,0.901
108,0.901
109,0.901
110,0.901
111,0.901
112,0.903
113,0.903
114,0.903
115,0.903
116,0.903
117,0.903
118,0.908
119,0.908
120,0.908
121,0.908
122,0.908
123,0.908
124,0.908
125,0.908
126,0.908
127,0.908
128,0.908
129,0.908
130,0.908
131,0.908
132,0.908
133,0.908
134,0.908
135,0.908
136,0.908
137,0.908
138,0.908
139,0.908
140,0.908
141,0.908
142,0.908
143,0.922
144,0.922
145,0.922
146,0.927
147,0.927
148,0.927
149,0.927
150,0.927
151,0.927
152,0.927
153,0.927
154,0.927
155,0.927
156,0.927
157,0.927
158,0.927
159,0.927
160,0.927
161,0.927
162,0.927
163,0.927
164,0.927
165,0.927
166,0.927
167,0.927
168,0.927
169,0.927
170,0.927
171,0.927
172,0.927
173,0.927
174,0.927
175,0.929
176,0.929
177,0.929
178,0.929
179,0.929
180,0.929
181,0.929
182,0.929
183,0.93
184,0.93
185,0.93
186,0.93
187,0.93
188,0.93
189,0.93
190,0.93
191,0.93
192,0.93
193,0.93
194,0.93
195,0.93
196,0.93
197,0.93
198,0.93
199,0.93
200,0.93
201,0.93
202,0.93
203,0.93
204,0.93
205,0.93
206,0.93
207,0.93
208,0.93
209,0.93
210,0.93
211,0.93
212,0.93
213,0.93
214,0.93
215,0.93
216,0.93
217,0.93
218,0.93
219,0.93
220,0.93
221,0.93
222,0.93
223,0.93
224,0.93
225,0.93
226,0.93
227,0.93
228,0.93
229,0.93
230,0.93
231,0.93
232,0.918
233,0.918
234,0.921
235,0.921
236,0.921
237,0.921
238,0.921
239,0.921
240,0.921
241,0.921
242,0.921
243,0.921
244,0.921
245,0.921
246,0.921
247,0.921
248,0.921
249,0.926
250,0.926
251,0.926
252,0.926
253,0.926
254,0.926
255,0.926
256,0.926
257,0.926
258,0.926
259,0.926
260,0.926
261,0.926
262,0.926
263,0.926
264,0.926
265,0.926
266,0.926
267,0.926
268,0.926
269,0.926
270,0.926
271,0.926
272,0.926
273,0.927
274,0.927
275,0.927
276,0.927
277,0.927
278,0.927
279,0.927
280,0.927
281,0.927
282,0.927
283,0.927
284,0.927
285,0.927
286,0.927
287,0.927
288,0.927
289,0.927
290,0.927
291,0.927
292,0.927
293,0.927
294,0.927
295,0.927
296,0.927
297,0.927
298,0.927
299,0.927
300,0.927
301,0.927
302,0.927
303,0.927
304,0.927
305,0.927
306,0.927
307,0.927
308,0.927
309,0.927
310,0.927
311,0.928
312,0.928
313,0.928
314,0.928
315,0.928
316,0.928
317,0.928
318,0.928
319,0.928
320,0.928
321,0.928
322,0.928
323,0.928
324,0.928
325,0.928
326,0.928
327,0.928
328,0.928
329,0.928
330,0.928
331,0.928
332,0.928
333,0.928
334,0.928
335,0.928
336,0.928
337,0.928
338,0.928
339,0.928
340,0.928
341,0.928
342,0.928
343,0.928
344,0.928
345,0.928
346,0.928
347,0.928
348,0.928
349,0.928
350,0.928
351,0.928
352,0.928
353,0.928
354,0.928
355,0.928
356,0.928
357,0.928
358,0.928
359,0.928
360,0.928
361,0.928
362,0.928
363,0.928
364,0.928
365,0.928
366,0.928
367,0.928
368,0.928
369,0.928
370,0.928
371,0.928
372,0.928
373,0.928
374,0.928
375,0.928
376,0.928
377,0.928
378,0.928
379,0.928
380,0.928
381,0.928
382,0.928
383,0.928
384,0.928
385,0.928
386,0.928
387,0.928
388,0.928
389,0.928
390,0.928
391,0.928
392,0.928
393,0.928
394,0.928
395,0.928
396,0.928
397,0.928
398,0.928
399,0.928
400,0.928
401,0.928
402,0.928
403,0.928
404,0.928
405,0.928
406,0.928
407,0.928
408,0.928
409,0.928
410,0.928
411,0.928
412,0.928
413,0.928
414,0.928
415,0.928
416,0.928
417,0.928
418,0.928
419,0.928
420,0.928
421,0.928
422,0.928
423,0.928
424,0.928
425,0.928
426,0.928
427,0.928
428,0.928
429,0.928
430,0.928
431,0.928
432,0.928
433,0.928
434,0.928
435,0.928
436,0.928
437,0.928
438,0.928
439,0.928
440,0.928
441,0.928
442,0.928
443,0.928
444,0.928
445,0.928
446,0.928
447,0.928
448,0.928
449,0.928
450,0.928
451,0.928
452,0.928
453,0.928
454,0.928
455,0.928
456,0.928
457,0.928
458,0.928
459,0.928
460,0.928
461,0.928
462,0.928
463,0.928
464,0.928
465,0.928
466,0.928
467,0.928
468,0.928
469,0.928
470,0.928
471,0.928
472,0.928
473,0.928
474,0.928
475,0.928
476,0.928
477,0.928
478,0.928
479,0.928
480,0.928
481,0.928
482,0.928
483,0.928
484,0.928
485,0.928
486,0.928
487,0.928
488,0.928
489,0.928
490,0.928
491,0.928
492,0.928
493,0.928
494,0.928
495,0.928
496,0.928
497,0.928
498,0.928
499,0.928
