,0
0,220.0
1,220.0
2,217.0
3,210.0
4,210.0
5,210.0
6,210.0
7,210.0
8,210.0
9,210.0
10,210.0
11,210.0
12,210.0
13,210.0
14,210.0
15,220.0
16,220.0
17,220.0
18,220.0
19,220.0
20,220.0
21,217.0
22,217.0
23,217.0
24,217.0
25,217.0
26,217.0
27,217.0
28,217.0
29,217.0
30,217.0
31,220.0
32,220.0
33,220.0
34,220.0
35,220.0
36,220.0
37,220.0
38,220.0
39,220.0
40,220.0
41,220.0
42,220.0
43,220.0
44,220.0
45,220.0
46,220.0
47,220.0
48,220.0
49,220.0
50,220.0
51,220.0
52,220.0
53,220.0
54,220.0
55,220.0
56,220.0
57,220.0
58,220.0
59,220.0
60,220.0
61,220.0
62,220.0
63,220.0
64,220.0
65,220.0
66,220.0
67,220.0
68,220.0
69,220.0
70,220.0
71,220.0
72,220.0
73,220.0
74,220.0
75,220.0
76,220.0
77,220.0
78,220.0
79,220.0
80,220.0
81,220.0
82,220.0
83,220.0
84,220.0
85,220.0
86,220.0
87,220.0
88,220.0
89,220.0
90,220.0
91,220.0
92,220.0
93,220.0
94,220.0
95,220.0
96,220.0
97,220.0
98,220.0
99,220.0
100,220.0
101,220.0
102,220.0
103,220.0
104,220.0
105,220.0
106,220.0
107,220.0
108,220.0
109,220.0
110,220.0
111,220.0
112,220.0
113,220.0
114,220.0
115,220.0
116,220.0
117,220.0
118,220.0
119,220.0
120,220.0
121,220.0
122,220.0
123,220.0
124,220.0
125,220.0
126,220.0
127,220.0
128,220.0
129,220.0
130,220.0
131,220.0
132,220.0
133,220.0
134,220.0
135,220.0
136,220.0
137,220.0
138,220.0
139,220.0
140,220.0
141,220.0
142,220.0
143,220.0
144,220.0
145,220.0
146,220.0
147,220.0
148,220.0
149,220.0
150,220.0
151,220.0
152,220.0
153,220.0
154,220.0
155,220.0
156,220.0
157,220.0
158,220.0
159,220.0
160,220.0
161,220.0
162,220.0
163,220.0
164,220.0
165,220.0
166,220.0
167,220.0
168,220.0
169,220.0
170,220.0
171,220.0
172,220.0
173,220.0
174,220.0
175,220.0
176,220.0
177,220.0
178,220.0
179,220.0
180,220.0
181,220.0
182,220.0
183,220.0
184,220.0
185,220.0
186,220.0
187,220.0
188,220.0
189,220.0
190,220.0
191,220.0
192,220.0
193,220.0
194,220.0
195,220.0
196,220.0
197,220.0
198,220.0
199,220.0
200,220.0
201,220.0
202,220.0
203,220.0
204,220.0
205,220.0
206,220.0
207,220.0
208,220.0
209,220.0
210,220.0
211,220.0
212,220.0
213,220.0
214,220.0
215,220.0
216,220.0
217,220.0
218,220.0
219,220.0
220,220.0
221,220.0
222,220.0
223,220.0
224,220.0
225,220.0
226,220.0
227,220.0
228,220.0
229,220.0
230,220.0
231,220.0
232,210.0
233,210.0
234,210.0
235,210.0
236,210.0
237,210.0
238,210.0
239,210.0
240,210.0
241,210.0
242,210.0
243,210.0
244,210.0
245,210.0
246,210.0
247,210.0
248,210.0
249,210.0
250,210.0
251,210.0
252,210.0
253,210.0
254,210.0
255,210.0
256,210.0
257,210.0
258,210.0
259,210.0
260,210.0
261,210.0
262,210.0
263,210.0
264,210.0
265,210.0
266,210.0
267,210.0
268,210.0
269,210.0
270,210.0
271,210.0
272,210.0
273,210.0
274,210.0
275,210.0
276,210.0
277,210.0
278,210.0
279,210.0
280,210.0
281,210.0
282,210.0
283,210.0
284,210.0
285,210.0
286,210.0
287,210.0
288,210.0
289,210.0
290,210.0
291,210.0
292,210.0
293,210.0
294,210.0
295,210.0
296,210.0
297,210.0
298,210.0
299,210.0
300,210.0
301,210.0
302,210.0
303,210.0
304,210.0
305,210.0
306,210.0
307,210.0
308,210.0
309,210.0
310,210.0
311,210.0
312,210.0
313,210.0
314,210.0
315,210.0
316,210.0
317,210.0
318,210.0
319,210.0
320,210.0
321,210.0
322,210.0
323,210.0
324,210.0
325,210.0
326,210.0
327,210.0
328,210.0
329,210.0
330,210.0
331,210.0
332,210.0
333,210.0
334,210.0
335,210.0
336,210.0
337,210.0
338,210.0
339,210.0
340,210.0
341,210.0
342,210.0
343,210.0
344,210.0
345,210.0
346,210.0
347,210.0
348,210.0
349,210.0
350,210.0
351,210.0
352,210.0
353,210.0
354,210.0
355,210.0
356,210.0
357,210.0
358,210.0
359,210.0
360,210.0
361,210.0
362,210.0
363,210.0
364,210.0
365,210.0
366,210.0
367,210.0
368,210.0
369,210.0
370,210.0
371,210.0
372,210.0
373,210.0
374,210.0
375,210.0
376,210.0
377,210.0
378,210.0
379,210.0
380,210.0
381,210.0
382,210.0
383,210.0
384,210.0
385,210.0
386,210.0
387,210.0
388,210.0
389,210.0
390,210.0
391,210.0
392,210.0
393,210.0
394,210.0
395,210.0
396,210.0
397,210.0
398,210.0
399,210.0
400,210.0
401,210.0
402,210.0
403,210.0
404,210.0
405,210.0
406,210.0
407,210.0
408,210.0
409,210.0
410,210.0
411,210.0
412,210.0
413,210.0
414,210.0
415,210.0
416,210.0
417,210.0
418,210.0
419,210.0
420,210.0
421,210.0
422,210.0
423,210.0
424,210.0
425,210.0
426,210.0
427,210.0
428,210.0
429,210.0
430,210.0
431,210.0
432,210.0
433,210.0
434,210.0
435,210.0
436,210.0
437,210.0
438,210.0
439,210.0
440,210.0
441,210.0
442,210.0
443,210.0
444,210.0
445,210.0
446,210.0
447,210.0
448,210.0
449,210.0
450,210.0
451,210.0
452,210.0
453,210.0
454,210.0
455,210.0
456,210.0
457,210.0
458,210.0
459,210.0
460,210.0
461,210.0
462,210.0
463,210.0
464,210.0
465,210.0
466,210.0
467,210.0
468,210.0
469,210.0
470,210.0
471,210.0
472,210.0
473,210.0
474,210.0
475,210.0
476,210.0
477,210.0
478,210.0
479,210.0
480,210.0
481,210.0
482,210.0
483,210.0
484,210.0
485,210.0
486,210.0
487,210.0
488,210.0
489,210.0
490,210.0
491,210.0
492,210.0
493,210.0
494,210.0
495,210.0
496,210.0
497,210.0
498,210.0
499,210.0
