,0
0,1.6561000000000001
1,1.6561000000000001
2,1.7244738847926269
3,1.7381800476190477
4,1.7381800476190477
5,1.7381800476190477
6,1.7381800476190477
7,1.7381800476190477
8,1.7381800476190477
9,1.7381800476190477
10,1.7381800476190477
11,1.7381800476190477
12,1.7381800476190477
13,1.7381800476190477
14,1.7381800476190477
15,1.758641
16,1.758641
17,1.758641
18,1.758641
19,1.758641
20,1.758641
21,1.762049884792627
22,1.762049884792627
23,1.762049884792627
24,1.762049884792627
25,1.762049884792627
26,1.762049884792627
27,1.762049884792627
28,1.762049884792627
29,1.762049884792627
30,1.762049884792627
31,1.781456
32,1.781456
33,1.781456
34,1.781456
35,1.781456
36,1.781456
37,1.781456
38,1.781456
39,1.781456
40,1.781456
41,1.781456
42,1.781456
43,1.781456
44,1.781456
45,1.781456
46,1.781456
47,1.781456
48,1.781456
49,1.781456
50,1.781456
51,1.781456
52,1.781456
53,1.781456
54,1.7921
55,1.7921
56,1.7921
57,1.7921
58,1.7921
59,1.7921
60,1.7921
61,1.7921
62,1.795664
63,1.795664
64,1.795664
65,1.797449
66,1.797449
67,1.797449
68,1.797449
69,1.797449
70,1.797449
71,1.797449
72,1.797449
73,1.797449
74,1.797449
75,1.797449
76,1.797449
77,1.797449
78,1.797449
79,1.797449
80,1.797449
81,1.797449
82,1.797449
83,1.799236
84,1.799236
85,1.799236
86,1.799236
87,1.799236
88,1.799236
89,1.799236
90,1.799236
91,1.811801
92,1.811801
93,1.811801
94,1.811801
95,1.811801
96,1.811801
97,1.811801
98,1.811801
99,1.811801
100,1.811801
101,1.811801
102,1.811801
103,1.811801
104,1.811801
105,1.811801
106,1.811801
107,1.811801
108,1.811801
109,1.811801
110,1.811801
111,1.811801
112,1.815409
113,1.815409
114,1.815409
115,1.815409
116,1.815409
117,1.815409
118,1.824464
119,1.824464
120,1.824464
121,1.824464
122,1.824464
123,1.824464
124,1.824464
125,1.824464
126,1.824464
127,1.824464
128,1.824464
129,1.824464
130,1.824464
131,1.824464
132,1.824464
133,1.824464
134,1.824464
135,1.824464
136,1.824464
137,1.824464
138,1.824464
139,1.824464
140,1.824464
141,1.824464
142,1.824464
143,1.850084
144,1.850084
145,1.850084
146,1.8593290000000002
147,1.8593290000000002
148,1.8593290000000002
149,1.8593290000000002
150,1.8593290000000002
151,1.8593290000000002
152,1.8593290000000002
153,1.8593290000000002
154,1.8593290000000002
155,1.8593290000000002
156,1.8593290000000002
157,1.8593290000000002
158,1.8593290000000002
159,1.8593290000000002
160,1.8593290000000002
161,1.8593290000000002
162,1.8593290000000002
163,1.8593290000000002
164,1.8593290000000002
165,1.8593290000000002
166,1.8593290000000002
167,1.8593290000000002
168,1.8593290000000002
169,1.8593290000000002
170,1.8593290000000002
171,1.8593290000000002
172,1.8593290000000002
173,1.8593290000000002
174,1.8593290000000002
175,1.863041
176,1.863041
177,1.863041
178,1.863041
179,1.863041
180,1.863041
181,1.863041
182,1.863041
183,1.8649
184,1.8649
185,1.8649
186,1.8649
187,1.8649
188,1.8649
189,1.8649
190,1.8649
191,1.8649
192,1.8649
193,1.8649
194,1.8649
195,1.8649
196,1.8649
197,1.8649
198,1.8649
199,1.8649
200,1.8649
201,1.8649
202,1.8649
203,1.8649
204,1.8649
205,1.8649
206,1.8649
207,1.8649
208,1.8649
209,1.8649
210,1.8649
211,1.8649
212,1.8649
213,1.8649
214,1.8649
215,1.8649
216,1.8649
217,1.8649
218,1.8649
219,1.8649
220,1.8649
221,1.8649
222,1.8649
223,1.8649
224,1.8649
225,1.8649
226,1.8649
227,1.8649
228,1.8649
229,1.8649
230,1.8649
231,1.8649
232,1.8903430476190477
233,1.8903430476190477
234,1.8958600476190477
235,1.8958600476190477
236,1.8958600476190477
237,1.8958600476190477
238,1.8958600476190477
239,1.8958600476190477
240,1.8958600476190477
241,1.8958600476190477
242,1.8958600476190477
243,1.8958600476190477
244,1.8958600476190477
245,1.8958600476190477
246,1.8958600476190477
247,1.8958600476190477
248,1.8958600476190477
249,1.9050950476190478
250,1.9050950476190478
251,1.9050950476190478
252,1.9050950476190478
253,1.9050950476190478
254,1.9050950476190478
255,1.9050950476190478
256,1.9050950476190478
257,1.9050950476190478
258,1.9050950476190478
259,1.9050950476190478
260,1.9050950476190478
261,1.9050950476190478
262,1.9050950476190478
263,1.9050950476190478
264,1.9050950476190478
265,1.9050950476190478
266,1.9050950476190478
267,1.9050950476190478
268,1.9050950476190478
269,1.9050950476190478
270,1.9050950476190478
271,1.9050950476190478
272,1.9050950476190478
273,1.9069480476190477
274,1.9069480476190477
275,1.9069480476190477
276,1.9069480476190477
277,1.9069480476190477
278,1.9069480476190477
279,1.9069480476190477
280,1.9069480476190477
281,1.9069480476190477
282,1.9069480476190477
283,1.9069480476190477
284,1.9069480476190477
285,1.9069480476190477
286,1.9069480476190477
287,1.9069480476190477
288,1.9069480476190477
289,1.9069480476190477
290,1.9069480476190477
291,1.9069480476190477
292,1.9069480476190477
293,1.9069480476190477
294,1.9069480476190477
295,1.9069480476190477
296,1.9069480476190477
297,1.9069480476190477
298,1.9069480476190477
299,1.9069480476190477
300,1.9069480476190477
301,1.9069480476190477
302,1.9069480476190477
303,1.9069480476190477
304,1.9069480476190477
305,1.9069480476190477
306,1.9069480476190477
307,1.9069480476190477
308,1.9069480476190477
309,1.9069480476190477
310,1.9069480476190477
311,1.9088030476190476
312,1.9088030476190476
313,1.9088030476190476
314,1.9088030476190476
315,1.9088030476190476
316,1.9088030476190476
317,1.9088030476190476
318,1.9088030476190476
319,1.9088030476190476
320,1.9088030476190476
321,1.9088030476190476
322,1.9088030476190476
323,1.9088030476190476
324,1.9088030476190476
325,1.9088030476190476
326,1.9088030476190476
327,1.9088030476190476
328,1.9088030476190476
329,1.9088030476190476
330,1.9088030476190476
331,1.9088030476190476
332,1.9088030476190476
333,1.9088030476190476
334,1.9088030476190476
335,1.9088030476190476
336,1.9088030476190476
337,1.9088030476190476
338,1.9088030476190476
339,1.9088030476190476
340,1.9088030476190476
341,1.9088030476190476
342,1.9088030476190476
343,1.9088030476190476
344,1.9088030476190476
345,1.9088030476190476
346,1.9088030476190476
347,1.9088030476190476
348,1.9088030476190476
349,1.9088030476190476
350,1.9088030476190476
351,1.9088030476190476
352,1.9088030476190476
353,1.9088030476190476
354,1.9088030476190476
355,1.9088030476190476
356,1.9088030476190476
357,1.9088030476190476
358,1.9088030476190476
359,1.9088030476190476
360,1.9088030476190476
361,1.9088030476190476
362,1.9088030476190476
363,1.9088030476190476
364,1.9088030476190476
365,1.9088030476190476
366,1.9088030476190476
367,1.9088030476190476
368,1.9088030476190476
369,1.9088030476190476
370,1.9088030476190476
371,1.9088030476190476
372,1.9088030476190476
373,1.9088030476190476
374,1.9088030476190476
375,1.9088030476190476
376,1.9088030476190476
377,1.9088030476190476
378,1.9088030476190476
379,1.9088030476190476
380,1.9088030476190476
381,1.9088030476190476
